Title,Published_date,Views,Likes,Comments,Month
WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,1582,53,21,Feb
IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,1171,45,10,Jan
What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,1172,55,14,Jan
"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,1952,73,16,Jan
How to Install Python on Mac OS and How to Run Python code,2021-01-11,230489,3472,274,Jan
Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,17073,422,40,Jan
iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,952,35,24,Dec
SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,463835,9989,420,Dec
How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,28107,328,77,Nov
Learn What is Database | Types of Database | DBMS,2020-08-30,84772,1664,83,Aug
Do you need a Smartwatch,2020-07-12,10121,176,44,Jul
MacBook Pro 13 2020  One Week Later Review,2020-06-29,1151,69,20,Jun
MacBook Pro 13 2020 Unboxing,2020-06-22,1816,84,29,Jun
